Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
KILLINGLY SCHOOL DISTRICT,Connecticut,CT,0902070,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2310,196.2,11.77
KIM REORGANIZED SCHOOL DISTRICT NO. 88,Colorado,CO,0804980,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,44,6.32,6.96
KIMBALL PUBLIC SCHOOL DISTRICT,Minnesota,MN,2717220,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,720,46.09,15.62
KIMBALL PUBLIC SCHOOLS,Nebraska,NE,3172570,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,397,35.78,11.1
KIMBALL SCHOOL DISTRICT 07-2,South Dakota,SD,4638220,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,343,30.48,11.25
KIMBERLY AREA SCHOOL DISTRICT,Wisconsin,WI,5507470,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5196,354.61,14.65
KIMBERLY DISTRICT,Idaho,ID,1601710,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1870,107.49,17.4
KINDERHOOK CENTRAL SCHOOL DISTRICT,New York,NY,3615210,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1659,168.98,9.82
KINDEZI ACADEMY,INDIANA,IN,1800177,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,430,20.29,21.19
KINDRED 2,North Dakota,ND,3800025,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,841,67.8,12.4
KINETIC ACADEMY DISTRICT,CALIFORNIA,CA,0602210,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,278,14,19.86
KING AND QUEEN CO PBLC SCHS,Virginia,VA,5102070,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,875,61.5,14.23
KING CENTER CHARTER SCHOOL,New York,NY,3600035,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,424,32.66,12.98
KING CITY R-I,Missouri,MO,2916590,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,340,33.65,10.1
KING CITY UNION,California,CA,0619680,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,2555,117.6,21.73
KING COLONY ELEM,Montana,MT,3015610,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,9,1,9
KING GEO CO PBLC SCHS,Virginia,VA,5102100,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4297,294.9,14.57
KING PHILIP,Massachusetts,MA,2506510,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,7th Grade,12th Grade,1946,132.86,14.65
KING WILLIAM CO PBLC SCHS,Virginia,VA,5102120,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2006,152.92,13.12
KING-CHAVEZ ACADEMY OF EXCELLENCE DISTRICT,CALIFORNIA,CA,0601585,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,277,14.5,19.1
KING-CHAVEZ ARTS ACADEMY DISTRICT,CALIFORNIA,CA,0602280,,1,7-Independent Charter District,1-Open,3rd Grade,5th Grade,269,10,26.9
KING-CHAVEZ COMMUNITY HIGH DISTRICT,CALIFORNIA,CA,0602185,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,310,15.5,20
KING-CHAVEZ PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CA,0601687,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,346,13.5,25.63
KING-CHAVEZ PRIMARY ACADEMY DISTRICT,CALIFORNIA,CA,0602015,,1,7-Independent Charter District,1-Open,Kindergarten,3rd Grade,327,15,21.8
KINGDOM EAST SUPERVISORY DISTRICT,VERMONT,VT,5000407,067 ,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,†,5.2,–
KINGDOM EAST UNIFIED UNION SCHOOL DISTRICT,VERMONT,VT,5000421,067 ,7,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1631,130.15,12.53
KINGFISHER,Oklahoma,OK,4016560,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1373,96.82,14.18
KINGMAN - NORWICH,Kansas,KS,2008070,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,894,62.9,14.21
KINGMAN ACADEMY OF LEARNING (4383),Arizona,AZ,0400074,,4,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1361,–,–
