Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
JONESVILLE COMMUNITY SCHOOLS,Michigan,MI,2619920,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1310,78,16.79
JOPLIN SCHOOLS,Missouri,MO,2916350,,17,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,7630,550.72,13.85
JOPPA-MAPLE GROVE UD 38,Illinois,IL,1700015,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,231,–,–
JORDAN DISTRICT,Utah,UT,4900420,,65,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,57267,–,–
JORDAN ELEM,Montana,MT,3015340,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,95,10.48,9.06
JORDAN PUBLIC SCHOOL DISTRICT,Minnesota,MN,2715750,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1869,114.91,16.26
JORDAN VALLEY SD 3,Oregon,OR,4106820,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,49,9,5.44
JORDAN-ELBRIDGE CENTRAL SCHOOL DISTRICT,New York,NY,3615990,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1218,80,15.23
JOSEPH BADGER LOCAL,Ohio,OH,3905017,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,656,32.35,20.28
JOSEPH CITY UNIFIED DISTRICT (4388),Arizona,AZ,0404010,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,434,27.25,15.93
JOSEPH K. LUMSDEN BAHWETING ANISHNABE ACADEMY,Michigan,MI,2600071,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,630,54.59,11.54
JOSEPH SD 6,Oregon,OR,4106870,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,270,17.47,15.46
JOSHUA ACADEMY,Indiana,IN,1800037,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,242,21.87,11.07
JOSHUA ISD,Texas,TX,4824930,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5490,404.83,13.56
JOURDANTON ISD,Texas,TX,4824960,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1562,121.52,12.85
JOURNEY DISTRICT,CALIFORNIA,CA,0602080,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,533,24,22.21
JOURNEY DISTRICT,CALIFORNIA,CA,0601828,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,566,20,28.3
JOY PREPARATORY ACADEMY,Michigan,MI,2600244,,1,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,215,18.3,11.75
JS CLARK LEADERSHIP ACADEMY,LOUISIANA,LA,2200215,,1,7-Independent Charter District,1-Open,5th Grade,12th Grade,260,14.89,17.46
JUAB DISTRICT,Utah,UT,4900450,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3807,–,–
JUBILEE ACADEMIES,Texas,TX,4800179,,13,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,6166,371.82,16.58
JUDA SCHOOL DISTRICT,Wisconsin,WI,5507230,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,268,24.86,10.78
JUDICIAL CENTERS,CONNECTICUT,CT,0900222,,0,8-Other education agencies,1-Open,8th Grade,12th Grade,47,–,–
JUDITH BASIN,Montana,MT,3000041,045 ,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,0,†,–
JUDITH GAP ELEM,Montana,MT,3015360,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,19,4.35,4.37
JUDITH GAP H S,Montana,MT,3015390,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,7,1.9,3.68
JUDSON ISD,Texas,TX,4824990,,31,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,23825,1628.06,14.63
JULESBURG SCHOOL DISTRICT NO. RE1,Colorado,CO,0804860,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1021,54.92,18.59
JULIA LEE PERFORMING ARTS ACADEMY DISTRICT,CALIFORNIA,CA,0602436,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,320,16,20
JULIAN CHARTER DISTRICT,CALIFORNIA,CA,0602005,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,114,5.6,20.36
JULIAN UNION ELEMENTARY,California,CA,0619140,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,266,12.55,21.2
JULIAN UNION HIGH,California,CA,0619110,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,106,8,13.25
JUMOKE ACADEMY DISTRICT,Connecticut,CT,0900007,,1,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,685,43.9,15.6
JUNCTION CITY ELEMENTARY,California,CA,0619170,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,71,3.5,20.29
JUNCTION CITY SCHOOL DISTRICT,Arkansas,AR,0508340,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,654,67.3,9.72
JUNCTION CITY SD 69,Oregon,OR,4106930,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1639,93.51,17.53
JUNCTION ELEMENTARY,California,CA,0619200,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,336,19,17.68
JUNCTION ELEMENTARY,California,CA,0619230,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,18,1,18
JUNCTION HILL C-12,Missouri,MO,2915060,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,202,19.93,10.14
JUNCTION ISD,Texas,TX,4825020,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,599,58.32,10.27
JUNEAU BOROUGH SCHOOL DISTRICT,Alaska,AK,0200210,,15,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4124,286.49,14.39
JUNIATA COUNTY SD,Pennsylvania,PA,4212600,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2400,182.5,13.15
JUNIATA VALLEY SD,Pennsylvania,PA,4212630,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,726,59.5,12.2
JUNIPER TREE ACADEMY (79064),Arizona,AZ,0400268,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,873,–,–
JUNTURA SD 12,Oregon,OR,4106960,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,4,1,4
JURUPA UNIFIED,California,CA,0619260,,25,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,18768,805.08,23.31
JUSTICE,Oklahoma,OK,4015900,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,138,13.5,10.22
JUSTUS-TIAWAH,Oklahoma,OK,4015930,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,525,36.58,14.35
JUVENILE JUSTICE,New Mexico,NM,3500011,,3,5-State agency providing elementary and/or secondary level instruction,1-Open,6th Grade,12th Grade,85,25.5,3.33
KADOKA AREA SCHOOL DISTRICT 35-2,South Dakota,SD,4680437,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,328,36.67,8.94
KAHLOTUS SCHOOL DISTRICT,Washington,WA,5303780,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,37,9.67,3.83
KAIROS ACADEMIES,MISSOURI,MO,2900616,,1,7-Independent Charter District,1-Open,6th Grade,7th Grade,228,13.04,17.48
KAIROS PUBLIC SCHOOL VACAVILLE ACADEMY DISTRICT,CALIFORNIA,CA,0601832,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,578,25.5,22.67
KAIZEN EDUCATION FOUNDATION DBA ADVANCE U (91329),Arizona,AZ,0400882,,1,7-Independent Charter District,1-Open,Kindergarten,3rd Grade,57,–,–
KAIZEN EDUCATION FOUNDATION DBA COLEGIO PETITE PHO (92989),ARIZONA,AZ,0400952,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,225,–,–
KAIZEN EDUCATION FOUNDATION DBA DISCOVER U ELEMENT (91328),Arizona,AZ,0400894,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,137,–,–
KAIZEN EDUCATION FOUNDATION DBA EL DORADO HIGH SCH (4342),Arizona,AZ,0400149,,2,7-Independent Charter District,1-Open,9th Grade,12th Grade,595,–,–
KAIZEN EDUCATION FOUNDATION DBA GILBERT ARTS ACADE (90333),Arizona,AZ,0400799,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,180,–,–
KAIZEN EDUCATION FOUNDATION DBA HAVASU PREPARATORY (90535),Arizona,AZ,0400852,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,213,–,–
KAIZEN EDUCATION FOUNDATION DBA LIBERTY ARTS ACADE (90334),Arizona,AZ,0400789,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,315,–,–
KAIZEN EDUCATION FOUNDATION DBA MAYA HIGH SCHOOL (79882),Arizona,AZ,0400389,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,336,–,–
KAIZEN EDUCATION FOUNDATION DBA MISSION HEIGHTS PR (90548),Arizona,AZ,0400823,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,422,–,–
KAIZEN EDUCATION FOUNDATION DBA SKYVIEW HIGH SCHOO (79880),Arizona,AZ,0400388,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,153,–,–
KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE ELEME (79233),Arizona,AZ,0400221,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,268,–,–
KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE JUNIO (78965),Arizona,AZ,0400227,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,171,†,–
KAIZEN EDUCATION FOUNDATION DBA SUMMIT HIGH SCHOOL (79876),Arizona,AZ,0400386,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,204,–,–
KAIZEN EDUCATION FOUNDATION DBA TEMPE ACCELERATED  (79878),Arizona,AZ,0400387,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,52,–,–
KAIZEN EDUCATION FOUNDATION DBA VISTA GROVE PREPAR (79871),Arizona,AZ,0400351,,1,7-Independent Charter District,1-Open,7th Grade,9th Grade,33,†,–
KAIZEN EDUCATION FOUNDATION DBA VISTA GROVE PREPAR (90330),Arizona,AZ,0400787,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,114,–,–
KAKE CITY SCHOOL DISTRICT,Alaska,AK,0200360,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,99,11.8,8.39
KALAMA SCHOOL DISTRICT,Washington,WA,5303810,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1035,53.96,19.18
KALAMAZOO COVENANT ACADEMY,MICHIGAN,MI,2601099,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,170,9.5,17.89
KALAMAZOO PUBLIC SCHOOLS,Michigan,MI,2619950,,31,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,12581,686.03,18.34
KALAMAZOO RESA,Michigan,MI,2680600,,5,9-Specialized public school district,1-Open,Prekindergarten,12th Grade,1346,122.06,11.03
KALEIDOSCOPE CHARTER HIGH SCHOOL,NORTH CAROLINA,NC,3700456,,0,7-Independent Charter District,3-New,9th Grade,10th Grade,–,–,–
KALEIDOSCOPE CHARTER SCHOOL,Minnesota,MN,2700360,,3,7-Independent Charter District,1-Open,Kindergarten,12th Grade,549,49.53,11.08
KALEIDOSCOPE SCHOOL (1000164),ARIZONA,AZ,0400992,,1,7-Independent Charter District,1-Open,Kindergarten,4th Grade,159,–,–
KALEVA NORMAN DICKSON SCHOOL DISTRICT,Michigan,MI,2620010,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,540,30.17,17.9
KALIDA LOCAL,Ohio,OH,3904934,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,600,39.52,15.18
KALISPELL ELEM,Montana,MT,3015450,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,2883,207.1,13.92
KALKASKA PUBLIC SCHOOLS,Michigan,MI,2620050,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1401,92.52,15.14
KAMIAH JOINT DISTRICT,Idaho,ID,1601620,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,410,33.88,12.1
KANAWHA COUNTY SCHOOLS,West Virginia,WV,5400600,,69,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,24721,1757.6,14.07
KANE AREA SD,Pennsylvania,PA,4212660,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1068,89.13,11.98
KANE DISTRICT,Utah,UT,4900480,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1383,–,–
KANE ROE,Illinois,IL,1700191,,18,8-Other education agencies,1-Open,Prekindergarten,12th Grade,–,–,–
KANELAND CUSD 302,Illinois,IL,1724480,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4092,–,–
KANKAKEE AREA REG VOC ED SYSTEM,Illinois,IL,1700276,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
KANKAKEE AREA SPEC EDUC COOP,Illinois,IL,1700056,,2,9-Specialized public school district,1-Open,4th Grade,12th Grade,–,–,–
KANKAKEE SD 111,Illinois,IL,1720760,,11,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4980,–,–
KANKAKEE VALLEY SCHOOL CORP,Indiana,IN,1805280,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3230,212.82,15.18
KANNAPOLIS CITY SCHOOLS,North Carolina,NC,3702430,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5362,371.75,14.42
KANSAS,Oklahoma,OK,4015990,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,778,62.58,12.43
KANSAS CITY,Kansas,KS,2007950,,43,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,22140,1569.39,14.11
KANSAS CITY 33,Missouri,MO,2916400,,35,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,14113,1121.6,12.58
KANSAS CITY GIRLS PREP ACADEMY,MISSOURI,MO,2900615,,1,7-Independent Charter District,1-Open,5th Grade,6th Grade,137,16.02,8.55
KANSAS CUSD 3,Illinois,IL,1720790,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,199,–,–
KARL G. MAESER PREPARATORY ACADEMY,Utah,UT,4900056,,1,7-Independent Charter District,1-Open,7th Grade,12th Grade,607,–,–
KARNACK ISD,Texas,TX,4825110,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,143,12.9,11.09
KARNES CITY ISD,Texas,TX,4825140,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1315,85.63,15.36
KARNS CITY AREA SD,Pennsylvania,PA,4209600,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1331,97,13.72
KARVAL SCHOOL DISTRICT NO. RE 23,Colorado,CO,0804890,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,50,7.02,7.12
KASHIA ELEMENTARY,California,CA,0632340,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,16,1,16
KASHUNAMIUT SCHOOL DISTRICT,Alaska,AK,0200005,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,332,21,15.81
KASKASKIA SPEC EDUC DISTRICT,Illinois,IL,1700074,,3,9-Specialized public school district,1-Open,–,–,†,†,†
KASSON-MANTORVILLE SCHOOL DISTRICT,Minnesota,MN,2716980,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2234,87.39,25.56
KATHERINE ANNE PORTER SCHOOL,Texas,TX,4800132,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,103,9.64,10.68
KATO PUBLIC CHARTER SCHOOL,Minnesota,MN,2700226,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,49,9,5.44
KATONAH-LEWISBORO UNION FREE SCHOOL DISTRICT,New York,NY,3616080,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2913,253.4,11.5
KATY ISD,Texas,TX,4825170,,73,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,84176,5881.77,14.31
KAUFMAN ISD,Texas,TX,4825200,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4025,271.67,14.82
KAUKAUNA AREA SCHOOL DISTRICT,Wisconsin,WI,5507290,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3933,260.87,15.08
KAVOD CHARTER DISTRICT,CALIFORNIA,CA,0601662,,1,7-Independent Charter District,1-Open,Kindergarten,7th Grade,357,22,16.23
KAW VALLEY,Kansas,KS,2007970,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1123,117.1,9.59
KAYENTA UNIFIED SCHOOL DISTRICT #27 (4396),Arizona,AZ,0404060,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1650,117.83,14
KC INTERNATIONAL ACADEMY,Missouri,MO,2900013,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,655,72.5,9.03
KEANSBURG SCHOOL DISTRICT,New Jersey,NJ,3407860,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1602,160.53,9.98
KEARNEY PUBLIC SCHOOLS,Nebraska,NE,3172390,,14,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6055,375.92,16.11
KEARNEY R-I,Missouri,MO,2916450,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3570,246.5,14.48
KEARNY,New Jersey,NJ,3407890,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5251,446.6,11.76
KEARSARGE REGIONAL SAU OFFICE,New Hampshire,NH,3399964,065 ,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,†,†,†
KEARSARGE REGIONAL SCHOOL DISTRICT,New Hampshire,NH,3304040,065 ,7,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,13th Grade,1655,168.6,9.82
KEARSLEY COMMUNITY SCHOOL DISTRICT,Michigan,MI,2620070,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2893,143.81,20.12
KEENE CENTRAL SCHOOL DISTRICT,New York,NY,3616140,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,156,21.94,7.11
KEENE ISD,Texas,TX,4825230,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1082,87.5,12.37
KEENE SAU OFFICE,New Hampshire,NH,3399929,029 ,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,†,†,†
KEENE SCHOOL DISTRICT,New Hampshire,NH,3304050,029 ,7,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3120,265.8,11.74
KEENEYVILLE SD 20,Illinois,IL,1720880,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,1382,–,–
KEILLER LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CA,0601545,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,593,40,14.83
KELL CONS SD 2,Illinois,IL,1720910,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,88,–,–
KELLER ISD,Texas,TX,4825260,,41,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,34319,2508.67,13.68
KELLER SCHOOL DISTRICT,Washington,WA,5303870,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,6th Grade,36,3.01,11.96
