NCESSCH,free_lunches
20006000627,53
20006000750,0
20007000032,0
20007000034,51
20007000036,0
20007000039,50
20007000398,0
20007000583,0
20009000038,73
20009000160,0
20009000393,0
20009000433,85
20009000629,86
20010000434,0
20010000510,0
20010000559,39
20010000599,0
20010000630,45
20010000631,41
20012000042,66
20012000634,70
20012000745,0
20013000044,32
20013000252,62
20013000253,0
20013000635,57
20015000046,46
20015000047,31
20015000048,61
20015000050,36
20015000052,54
20015000306,46
20015000427,0
20015000449,0
20015000523,63
20015000584,34
20018000053,63
20018000054,97
20018000056,52
20018000057,63
20018000058,72
20018000059,27
20018000060,23
20018000062,54
20018000063,60
20018000064,82
20018000065,79
20018000066,80
20018000067,12
20018000068,26
20018000069,20
20018000070,71
20018000071,90
20018000072,44
20018000073,30
20018000074,44
20018000075,64
20018000076,99
20018000077,26
20018000078,59
20018000080,26
20018000082,16
20018000083,40
20018000086,85
20018000087,69
20018000088,52
20018000089,99
20018000091,27
20018000092,92
20018000093,99
20018000094,22
20018000095,73
20018000096,84
20018000097,15
20018000098,39
20018000099,38
20018000101,23
20018000102,86
20018000103,21
20018000104,12
20018000105,40
20018000106,53
20018000107,92
20018000108,36
20018000109,0
20018000110,73
20018000112,50
20018000115,0
20018000116,61
20018000117,78
20018000118,58
20018000119,69
20018000120,56
20018000121,29
20018000122,93
20018000123,84
20018000124,94
20018000147,48
20018000149,27
20018000151,58
20018000154,99
20018000162,20
20018000172,11
20018000178,0
20018000229,28
20018000341,0
20018000390,33
20018000399,0
20018000400,60
20018000401,0
20018000432,0
20018000454,18
20018000458,16
20018000459,0
20018000460,0
20018000504,64
20018000505,24
20018000506,64
20018000509,0
20018000530,0
20018000531,34
20018000532,16
20018000533,12
20018000534,54
20018000555,0
20018000561,69
20018000562,36
20018000598,40
20018000713,35
20018000714,0
20018000729,71
20018000732,12
20018000736,76
20021000125,0
20021000127,13
20021000129,26
20021000130,37
20021000131,44
20021000132,32
20021000133,21
20021000134,28
20021000265,44
20021000268,32
20021000396,0
20021000508,27
20021000737,20
20021000738,77
20024000035,72
20024000135,37
20024000136,37
20024000142,0
20024000143,34
20024000638,39
20027000144,48
20027000471,44
20027000639,48
20027000670,0
20030000146,75
20030000641,75
20033000148,85
20033000746,0
20036000150,67
20039000079,55
20039000081,43
20039000152,51
20039000153,0
20039000155,0
20039000156,47
20039000157,81
20039000158,25
20039000159,0
20039000163,19
20039000164,79
20039000165,54
20039000168,85
20039000169,35
20039000171,61
20039000173,42
20039000175,50
20039000176,42
20039000274,0
20039000296,43
20039000299,48
20039000397,0
20039000403,37
